0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:47 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:48 +0000] "GET /TestProject/faces/privacy.xhtml HTTP/1.1" 200 9750
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:48 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:53 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:57 +0000] "POST /TestProject/faces/contact.xhtml HTTP/1.1" 302 176
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:57 +0000] "GET /TestProject/faces/index.xhtml HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:57 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:59 +0000] "GET /TestProject/faces/register.xhtml HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:38:59 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:39:50 +0000] "POST /TestProject/faces/register.xhtml HTTP/1.1" 200 6597
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:39:50 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:39:54 +0000] "POST /TestProject/faces/register.xhtml HTTP/1.1" 302 206
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:39:54 +0000] "GET /TestProject/faces/registration_success.xhtml HTTP/1.1" 200 5533
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:39:54 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:40:04 +0000] "POST /TestProject/faces/registration_success.xhtml HTTP/1.1" 302 176
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:40:04 +0000] "GET /TestProject/faces/index.xhtml HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:40:04 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:40:06 +0000] "GET /TestProject/faces/login.xhtml HTTP/1.1" 200 5376
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:40:06 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:40:12 +0000] "POST /TestProject/faces/login.xhtml HTTP/1.1" 302 176
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:40:12 +0000] "GET /TestProject/faces/index.xhtml HTTP/1.1" 200 4266
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:40:12 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:40:15 +0000] "POST /TestProject/faces/index.xhtml HTTP/1.1" 302 176
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:40:15 +0000] "GET /TestProject/faces/index.xhtml HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:40:15 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
